,NAME,LOCATION,COURSES,CONTACT NO.
218,Perfect Spoken English & Personality Development Institute," Civil Lines, Amravati Road","SAT Coaching, Management entrance exam coaching",
219,Krishna Consultants," I.T. Park, Parsodi","SAT Coaching, Management entrance exam coaching",
220,Krishna Consultants,"Behind Infotech Tower, Parsodi","TOEFL Coaching, Foreign education entrance exam coaching",
221,Krishna Consultants,"I.T. Park, Parsodi","TOEFL Coaching, Management entrance exam coaching",
222,Atlanta Computers Institute,"2nd Floor, Hanuman Nagar","TOEFL Coaching, Hotel management entrance exam coaching",
223,Titans Learning Pvt. Ltd.,"Chitnavis Layout, Byramji Town","TOEFL Coaching, Management entrance exam coaching",
224,Krishna Consultants," I.T. Park, Parsodi","TOEFL Coaching, Management entrance exam coaching",
225,Ascendant Learning Center Pvt. Ltd.,"House No.1288/D, Mankapur","TOEFL Coaching, Management entrance exam coaching",
226,Overseas Mentors," India, Ravi Nagar","TOEFL Coaching, Management entrance exam coaching",
227,Bulls Eye,"Amaravathi Road, Nagpur","CET Entrance Coaching, Management entrance exam coaching",
228,SciMaker Academy of Science," Nehru Nagar, Nandanvan","CET Entrance Coaching, ENGG / ARCH entrance exam coaching",
229,3C by Auxano," GS College of Commerce, Gorepeth","CET Entrance Coaching, Management entrance exam coaching",
230,T.I.M.E.,"Plot No.209, Laxmi Nagar","CET Entrance Coaching, Law entrance exam coaching",
231,Ascendant Learning Center Pvt. Ltd.," Koradi Road, New Mankapur","CET Entrance Coaching, Polytechnic entrance exam coaching",
232,Sparkle Solutions,"Hingna Road, Jaitala Road, Nagpur","CET Entrance Coaching, ENGG / ARCH entrance exam coaching",
233,Perfect Spoken English & Personality Development Institute," Civil Lines, Amravati Road","CET Entrance Coaching, Management entrance exam coaching",
234,The Gate Coach," Mangalwari Complex, Amravati Road",GATE Coaching,+912249430048_
235,Confidence Foundation Spoken English & Personalty Development Classes,"Karodpati Lane No. 173 , Civil Lines",GATE Coaching,
236,The Gate Academy,"WHC Road, Dharampeth",GATE Coaching,
237,Chaitanya Clases,"No. 220, Ram Nagar",GATE Coaching,
238,Carta Academy," Taywade College road, Koradi ",GATE Coaching,
239,Cavalier India," Pune - 411001, Nagpur",GATE Coaching,
240,Ice Gate Institute,"Khare town, Dharampeth",GATE Coaching,
241,The Gate Coach," Mangalwari Complex, Amravati Road",GATE Coaching,+912249430048_
242,Confidence Foundation Spoken English & Personalty Development Classes,"Karodpati Lane No. 173 , Civil Lines",GATE Coaching,
243,The Gate Academy,"WHC Road, Dharampeth",GATE Coaching,
244,Chaitanya Clases,"No. 220, Ram Nagar",GATE Coaching,
245,Carta Academy," Taywade College road, Koradi ",GATE Coaching,
246,Cavalier India," Pune - 411001, Nagpur",GATE Coaching,
247,Ice Gate Institute,"Khare town, Dharampeth",GATE Coaching,
248,UPSC WITH NIKHIL," Farm Land Road, Ramdaspeth, Nagpur","IPS Entrance Exam Coaching, UPSC exam coaching",+912249429107_
249,New Vision IAS Academy," Congress Nagar T Point, Dhantoli, Nagpur","IPS Entrance Exam Coaching, UPSC exam coaching",+919021115578_
250,Aeon IAS academy for UPSC and MPSC,"Dhantoli, Lokmat Square, Nagpur","IPS Entrance Exam Coaching, UPSC exam coaching",+912249410804_
251,Premier Academy For Administrative Services," Block 301, Shankar Nagar","IPS Entrance Exam Coaching, UPSC exam coaching",
252,Alloy,"Plot No. 2, Katol Road","IPS Entrance Exam Coaching, UPSC exam coaching",
253,The Competitive Solutions,"Amravati Road, Civil Lines","IPS Entrance Exam Coaching, UPSC exam coaching",
254,Talent1 Coaching Classes,"manewada square, Manewada Ring Road, Nagpur","IPS Entrance Exam Coaching, UPSC exam coaching",
